,feature,importance
3,MAXIMUM_SPEED,0.5896253222191545
2,MINIMUM_SPEED,0.35407232496797447
1,LONGITUDE,0.05408630035486537
0,LATITUDE,0.04976824447030318
4,NUMBER_OF_VEHICLES,0.04255376891208277
8,HOUR,0.0020468703027780367
15,WEATHER_Sunny,0.0002787940512920861
12,WEEKDAY,0.0002218579344696825
10,MONTH,0.00021380719458561349
14,WEATHER_Snowy,7.098717121410969e-05
5,IS_HOLIDAY,0.0
6,IS_PEAK_HOUR,0.0
7,IS_WEEKEND,0.0
9,DAY,0.0
11,YEAR,0.0
13,WEATHER_Rainy,-1.2958701994314482e-05
