,feature,importance
3,MAXIMUM_SPEED,0.462456950374376
2,MINIMUM_SPEED,0.37140123716896906
4,NUMBER_OF_VEHICLES,0.06915118184103913
0,LATITUDE,0.027331346190169057
1,LONGITUDE,0.024831633450545527
10,MONTH,0.01363824275560119
12,WEEKDAY,0.009704335568045022
8,HOUR,0.006285980961564132
14,WEATHER_Snowy,0.006183896188455066
13,WEATHER_Rainy,0.005347684794514218
15,WEATHER_Sunny,0.0029421517204244007
7,IS_WEEKEND,0.0007253589862969582
5,IS_HOLIDAY,0.0
6,IS_PEAK_HOUR,0.0
9,DAY,0.0
11,YEAR,0.0
